Date,Ticker,Close,Open,High,Low,Volume,RSI,EMA_20,EMA_50,MACD,MACD_Signal,MACD_Hist,BB_Upper,BB_Middle,BB_Lower,BB_Width,Price_Change,Volatility_20,Daily_Return,High_Low_Range,Sentiment_Score,Sentiment_Positive_Ratio,Sentiment_Negative_Ratio,Daily_Sentiment,Price_Direction
2020-12-31,AAPL,132.69,134.08,134.74,131.72,99116590,67.87065052950081,129.14776908663217,126.18341205705488,2.8395297253404124,2.1417574983437313,0.6977722269966811,137.3434523644847,127.72925000000001,118.11504763551531,19.228404728969394,-0.00770266227938976,0.017810661053424257,-0.010366945107398677,0.022927421803826377,0.5034452874754667,0.5034452874754667,0.47210209266166514,0.55311670277659,0
2021-01-04,AAPL,129.41,133.52,133.6116,126.76,143301900,62.114918656974766,129.17274345933387,126.30994491756253,2.49981384689562,2.213368768054109,0.2864450788415107,137.42068156689913,128.05275,118.68481843310087,18.73586313379826,-0.02471927048006628,0.018909390603500987,-0.03078190533253455,0.05405175134111711,0.5034452874754667,0.5034452874754667,0.47210209266166514,0.4896188573583482,1
2021-01-05,AAPL,131.01,128.89,131.74,128.43,97664900,65.45545880776962,129.34772027273064,126.49426080314832,2.3328021034201356,2.2372554351273144,0.09554666829282121,137.52970329000803,128.49075,119.45179670999195,18.077906580016077,0.012363804960976665,0.018918939449447794,0.016448134067809796,0.025772794518414716,0.5034452874754667,0.5034452874754667,0.47210209266166514,0.5682141412855359,0
2021-01-06,AAPL,126.6,127.72,131.0499,126.382,155088000,47.72807951721689,129.08603262770868,126.49840743831898,1.8235729357009518,2.154518935242042,-0.33094599954109016,137.44450851277486,128.63325,119.82199148722515,17.622517025549712,-0.033661552553240215,0.020534320947671502,-0.008769182586908899,0.03693484831700719,0.5034452874754667,0.5034452874754667,0.47210209266166514,0.6557482731162693,1
2021-01-07,AAPL,130.92,128.36,131.63,127.86,109578200,54.796421961751996,129.2606961869745,126.67180322505158,1.748438141212091,2.073302776436052,-0.3248646352239608,137.5904579471196,128.96025,120.33004205288042,17.260415894239188,0.034123222748815074,0.021800741980106477,0.019943907759426407,0.02948537462849989,0.5034452874754667,0.5034452874754667,0.47210209266166514,0.4800299500031331,1
2021-01-08,AAPL,132.05,132.43,132.63,130.23,105158200,55.12859767299453,129.52634416916743,126.88271290250054,1.7597890783936236,2.0106000368275665,-0.25081095843394285,137.50656747451958,129.47375,121.4409325254804,16.06563494903918,0.008631225175679935,0.021100430396871876,-0.002869440459110439,0.018428933425478047,0.5034452874754667,0.5034452874754667,0.47210209266166514,0.4800315917805486,0
2021-01-11,AAPL,128.98,129.19,130.17,128.5,100620900,53.4510909900549,129.47431139115147,126.96495945534366,1.5037274015028572,1.9092255097626247,-0.4054981082597675,137.2473838968366,129.76074999999997,122.27411610316335,14.973267793673244,-0.023248769405528336,0.021878453657894602,-0.0016255128105891164,0.012996108949416245,0.5034452874754667,0.5034452874754667,0.47210209266166514,0.6613665690262058,0
2021-01-12,AAPL,128.8,128.5,129.69,126.86,91951150,50.882626200061964,129.41009125866086,127.03692182964392,1.2716138096197653,1.7817031697340528,-0.5100893601142875,136.74648737872224,130.08025,123.41401262127776,13.332474757444473,-0.0013955652039073785,0.021792191329813936,0.002334630350194641,0.02230805612486204,0.5034452874754667,0.5034452874754667,0.47210209266166514,0.5801887603907576,1
2021-01-13,AAPL,130.89,128.76,131.45,128.49,88636830,48.38919622518709,129.5510349483122,127.18802293436376,1.241990752621689,1.6737606863115801,-0.43176993368989125,135.93937186043084,130.53574999999998,125.13212813956913,10.807243720861706,0.01622670807453397,0.02190724090924534,0.016542404473438924,0.02303681220328414,0.5034452874754667,0.5034452874754667,0.47210209266166514,0.4564978488819715,0
2021-01-14,AAPL,128.91,130.8,131.0,128.76,90221760,46.775715633847106,129.4899840008539,127.25555144674165,1.04667934611183,1.5483444182716302,-0.5016650721598002,135.90322144164836,130.58725,125.27127855835165,10.631942883296702,-0.015127206050882358,0.019367056132696462,-0.014449541284403782,0.017396707051879536,0.5034452874754667,0.5034452874754667,0.47210209266166514,0.5577012918340631,0
